"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.121.59","23.1.60.77","TCP","78","52010  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1230586667 TSecr=0 SACK_PERM"
"2","0.015076","23.1.60.77","100.86.121.59","TCP","74","443  >  52010 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=389966668 TSecr=1230586667 WS=128"
"3","0.015200","100.86.121.59","23.1.60.77","TCP","66","52010  >  443 [ACK] Seq=1 Ack=1 Win=131776 Len=0 TSval=1230586683 TSecr=389966668"
"4","0.015377","100.86.121.59","23.1.60.77","TCP","1514","52010  >  443 [ACK] Seq=1 Ack=1 Win=131776 Len=1448 TSval=1230586683 TSecr=389966668 [TCP PDU reassembled in 5]"
"5","0.015383","100.86.121.59","23.1.60.77","TLSv1.3","367","Client Hello (SNI=ibm.com)"
"6","0.020240","100.86.121.59","23.1.60.77","TCP","78","52011  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1284567663 TSecr=0 SACK_PERM"
"7","0.020315","100.86.121.59","23.1.60.77","TCP","78","52012  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1539773275 TSecr=0 SACK_PERM"
"8","0.025850","23.1.60.77","100.86.121.59","TCP","66","443  >  52010 [ACK] Seq=1 Ack=1750 Win=67584 Len=0 TSval=389966680 TSecr=1230586683"
"9","0.026496","23.1.60.77","100.86.121.59","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"10","0.026497","23.1.60.77","100.86.121.59","TCP","1514","443  >  52010 [PSH, ACK] Seq=1449 Ack=1750 Win=67584 Len=1448 TSval=389966681 TSecr=1230586683 [TCP PDU reassembled in 13]"
"11","0.026543","100.86.121.59","23.1.60.77","TCP","66","52010  >  443 [ACK] Seq=1750 Ack=2897 Win=128896 Len=0 TSval=1230586694 TSecr=389966681"
"12","0.026916","23.1.60.77","100.86.121.59","TCP","1266","443  >  52010 [PSH, ACK] Seq=2897 Ack=1750 Win=67584 Len=1200 TSval=389966681 TSecr=1230586683 [TCP PDU reassembled in 13]"
"13","0.026917","23.1.60.77","100.86.121.59","TLSv1.3","414","Application Data, Application Data, Application Data"
"14","0.026965","100.86.121.59","23.1.60.77","TCP","66","52010  >  443 [ACK] Seq=1750 Ack=4445 Win=129536 Len=0 TSval=1230586694 TSecr=389966681"
"15","0.029476","100.86.121.59","23.1.60.77","TLSv1.3","146","Change Cipher Spec, Application Data"
"16","0.029604","100.86.121.59","23.1.60.77","TLSv1.3","158","Application Data"
"17","0.029649","100.86.121.59","23.1.60.77","TCP","1514","52010  >  443 [ACK] Seq=1922 Ack=4445 Win=131072 Len=1448 TSval=1230586697 TSecr=389966681 [TCP PDU reassembled in 18]"
"18","0.029652","100.86.121.59","23.1.60.77","TLSv1.3","1083","Application Data"
"19","0.035772","23.1.60.77","100.86.121.59","TCP","74","80  >  52011 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=389966688 TSecr=1284567663 WS=128"
"20","0.035899","100.86.121.59","23.1.60.77","TCP","66","52011  >  80 [ACK] Seq=1 Ack=1 Win=131776 Len=0 TSval=1284567678 TSecr=389966688"
"21","0.036100","23.1.60.77","100.86.121.59","TCP","74","80  >  52012 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2288401576 TSecr=1539773275 WS=128"
"22","0.036207","100.86.121.59","23.1.60.77","TCP","66","52012  >  80 [ACK] Seq=1 Ack=1 Win=131776 Len=0 TSval=1539773291 TSecr=2288401576"
"23","0.039335","23.1.60.77","100.86.121.59","TLSv1.3","353","Application Data"
"24","0.039337","23.1.60.77","100.86.121.59","TLSv1.3","353","Application Data"
"25","0.039443","100.86.121.59","23.1.60.77","TCP","66","52010  >  443 [ACK] Seq=4387 Ack=5019 Win=130560 Len=0 TSval=1230586707 TSecr=389966694"
"26","0.040240","23.1.60.77","100.86.121.59","TLSv1.3","127","Application Data"
"27","0.040242","23.1.60.77","100.86.121.59","TLSv1.3","97","Application Data"
"28","0.040298","100.86.121.59","23.1.60.77","TCP","66","52010  >  443 [ACK] Seq=4387 Ack=5080 Win=131072 Len=0 TSval=1230586708 TSecr=389966695"
"29","0.040331","100.86.121.59","23.1.60.77","TCP","66","52010  >  443 [ACK] Seq=4387 Ack=5111 Win=131072 Len=0 TSval=1230586708 TSecr=389966695"
"30","0.040349","100.86.121.59","23.1.60.77","TLSv1.3","97","Application Data"
"31","0.041076","23.1.60.77","100.86.121.59","TLSv1.3","206","Application Data"
"32","0.041077","23.1.60.77","100.86.121.59","TLSv1.3","97","Application Data"
"33","0.041107","100.86.121.59","23.1.60.77","TCP","66","52010  >  443 [ACK] Seq=4418 Ack=5282 Win=130944 Len=0 TSval=1230586709 TSecr=389966695"
"34","0.092367","23.1.60.77","100.86.121.59","TCP","66","443  >  52010 [ACK] Seq=5282 Ack=4418 Win=72576 Len=0 TSval=389966747 TSecr=1230586708"
"35","15.319935","23.1.60.77","100.86.121.59","TCP","74","[TCP Retransmission] 80  >  52011 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=389981975 TSecr=1284567678 WS=128"
"36","15.320115","100.86.121.59","23.1.60.77","TCP","66","[TCP Dup ACK 20#1] 52011  >  80 [ACK] Seq=1 Ack=1 Win=131776 Len=0 TSval=1284582962 TSecr=389966688"
"37","15.496154","23.1.60.77","100.86.121.59","TCP","74","[TCP Retransmission] 80  >  52012 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2288417039 TSecr=1539773291 WS=128"
"38","15.496280","100.86.121.59","23.1.60.77","TCP","66","[TCP Dup ACK 22#1] 52012  >  80 [ACK] Seq=1 Ack=1 Win=131776 Len=0 TSval=1539788751 TSecr=2288401576"
"39","35.331159","23.1.60.77","100.86.121.59","HTTP","576","HTTP/1.0 408 Request Time-out  (text/html)"
"40","35.331380","100.86.121.59","23.1.60.77","TCP","66","52011  >  80 [ACK] Seq=1 Ack=511 Win=131328 Len=0 TSval=1284602974 TSecr=390001986"
"41","35.333320","23.1.60.77","100.86.121.59","TCP","66","80  >  52011 [FIN, ACK] Seq=511 Ack=1 Win=65280 Len=0 TSval=390001986 TSecr=1284582962"
"42","35.333434","100.86.121.59","23.1.60.77","TCP","66","52011  >  80 [ACK] Seq=1 Ack=512 Win=131328 Len=0 TSval=1284602976 TSecr=390001986"
"43","35.509400","23.1.60.77","100.86.121.59","HTTP","576","HTTP/1.0 408 Request Time-out  (text/html)"
"44","35.509554","100.86.121.59","23.1.60.77","TCP","66","52012  >  80 [ACK] Seq=1 Ack=511 Win=131328 Len=0 TSval=1539808764 TSecr=2288437051"
"45","35.511006","23.1.60.77","100.86.121.59","TCP","66","80  >  52012 [FIN, ACK] Seq=511 Ack=1 Win=65280 Len=0 TSval=2288437051 TSecr=1539788751"
"46","35.511066","100.86.121.59","23.1.60.77","TCP","66","52012  >  80 [ACK] Seq=1 Ack=512 Win=131328 Len=0 TSval=1539808765 TSecr=2288437051"
"47","37.713296","100.86.121.59","23.1.60.77","TCP","54","[TCP Keep-Alive] 52010  >  443 [ACK] Seq=4417 Ack=5282 Win=131072 Len=0"
"48","37.738257","23.1.60.77","100.86.121.59","TCP","66","[TCP Keep-Alive ACK] 443  >  52010 [ACK] Seq=5282 Ack=4418 Win=72576 Len=0 TSval=390004387 TSecr=1230586708"
